Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.097156962620485, std[0]=2.01194913049682)
Loading Target Train...
Epoch: [0][220/299]	L_Src_Sup 1.3281e-01 (2.7901e-01)	L_Trg_Inj 1.3587e-01 (3.9511e-01)	Loss Disc 6.9085e-01 (6.9383e-01)	Loss Pred 8.3688e-01 (9.0179e-01)	Loss TOTAL 1.2092e+00 (1.3233e+00)
Epoch: [0][230/299]	L_Src_Sup 8.2187e-02 (2.7177e-01)	L_Trg_Inj 1.7536e-01 (3.8491e-01)	Loss Disc 6.8690e-01 (6.9348e-01)	Loss Pred 8.4200e-01 (8.9917e-01)	Loss TOTAL 1.2112e+00 (1.3185e+00)
Epoch: [0][240/299]	L_Src_Sup 1.4840e-01 (2.6587e-01)	L_Trg_Inj 1.3530e-01 (3.7728e-01)	Loss Disc 6.9159e-01 (6.9331e-01)	Loss Pred 8.5571e-01 (8.9683e-01)	Loss TOTAL 1.2430e+00 (1.3147e+00)
Epoch: [0][250/299]	L_Src_Sup 1.1796e-01 (2.6014e-01)	L_Trg_Inj 3.1165e-01 (3.7162e-01)	Loss Disc 6.8742e-01 (6.9317e-01)	Loss Pred 7.9643e-01 (8.9419e-01)	Loss TOTAL 1.1831e+00 (1.3106e+00)
Epoch: [0][260/299]	L_Src_Sup 1.2530e-01 (2.5437e-01)	L_Trg_Inj 1.7057e-01 (3.6427e-01)	Loss Disc 6.7956e-01 (6.9301e-01)	Loss Pred 7.6638e-01 (8.9145e-01)	Loss TOTAL 1.1357e+00 (1.3062e+00)
Epoch: [0][270/299]	L_Src_Sup 1.0737e-01 (2.4897e-01)	L_Trg_Inj 8.4491e-02 (3.5684e-01)	Loss Disc 6.9170e-01 (6.9298e-01)	Loss Pred 8.2627e-01 (8.8800e-01)	Loss TOTAL 1.2142e+00 (1.3015e+00)
Epoch: [0][280/299]	L_Src_Sup 1.2713e-01 (2.4349e-01)	L_Trg_Inj 1.1783e-01 (3.4933e-01)	Loss Disc 6.8730e-01 (6.9293e-01)	Loss Pred 8.0899e-01 (8.8488e-01)	Loss TOTAL 1.1864e+00 (1.2968e+00)
Epoch: [0][290/299]	L_Src_Sup 2.3640e-01 (2.4319e-01)	L_Trg_Inj 1.9562e-01 (3.4702e-01)	Loss Disc 6.9127e-01 (6.9291e-01)	Loss Pred 7.8222e-01 (8.8402e-01)	Loss TOTAL 1.2118e+00 (1.2962e+00)
Epoch: [0][299/299]	L_Src_Sup 1.1749e-01 (2.4049e-01)	L_Trg_Inj 2.2904e-01 (3.4576e-01)	Loss Disc 6.9232e-01 (6.9288e-01)	Loss Pred 8.0313e-01 (8.8149e-01)	Loss TOTAL 1.1839e+00 (1.2931e+00)
Epoch 0 complete. Saving model state...
Epoch: [1][ 10/299]	L_Src_Sup 1.0428e-01 (8.3879e-02)	L_Trg_Inj 2.9010e-01 (2.3287e-01)	Loss Disc 6.9140e-01 (6.9263e-01)	Loss Pred 8.0666e-01 (7.9758e-01)	Loss TOTAL 1.1918e+00 (1.1756e+00)
Epoch: [1][ 20/299]	L_Src_Sup 5.0383e-02 (8.0497e-02)	L_Trg_Inj 1.9387e-01 (1.8486e-01)	Loss Disc 6.9095e-01 (6.9235e-01)	Loss Pred 7.9845e-01 (7.8468e-01)	Loss TOTAL 1.1683e+00 (1.1574e+00)
Epoch: [1][ 30/299]	L_Src_Sup 1.5243e-01 (9.4003e-02)	L_Trg_Inj 1.1319e-01 (1.7056e-01)	Loss Disc 6.9192e-01 (6.9247e-01)	Loss Pred 7.4501e-01 (7.8146e-01)	Loss TOTAL 1.1568e+00 (1.1571e+00)
Epoch: [1][ 40/299]	L_Src_Sup 1.5723e-01 (1.1159e-01)	L_Trg_Inj 3.6050e-01 (1.9562e-01)	Loss Disc 6.9328e-01 (6.9276e-01)	Loss Pred 7.6356e-01 (7.8848e-01)	Loss TOTAL 1.1620e+00 (1.1741e+00)
Epoch: [1][ 50/299]	L_Src_Sup 9.8620e-02 (1.1194e-01)	L_Trg_Inj 2.4839e-01 (2.1711e-01)	Loss Disc 6.9253e-01 (6.9285e-01)	Loss Pred 7.7251e-01 (7.8497e-01)	Loss TOTAL 1.1535e+00 (1.1711e+00)
Epoch: [1][ 60/299]	L_Src_Sup 9.3132e-02 (1.1486e-01)	L_Trg_Inj 2.6500e-01 (2.1319e-01)	Loss Disc 6.9298e-01 (6.9296e-01)	Loss Pred 7.2570e-01 (7.8076e-01)	Loss TOTAL 1.1080e+00 (1.1665e+00)
Epoch: [1][ 70/299]	L_Src_Sup 1.6215e-01 (1.1723e-01)	L_Trg_Inj 1.2349e-01 (2.1240e-01)	Loss Disc 6.9367e-01 (6.9305e-01)	Loss Pred 7.4059e-01 (7.7827e-01)	Loss TOTAL 1.1547e+00 (1.1639e+00)
Epoch: [1][ 80/299]	L_Src_Sup 8.8643e-02 (1.1912e-01)	L_Trg_Inj 2.5530e-01 (2.1945e-01)	Loss Disc 6.9457e-01 (6.9309e-01)	Loss Pred 7.5796e-01 (7.7526e-01)	Loss TOTAL 1.1396e+00 (1.1610e+00)
Epoch: [1][ 90/299]	L_Src_Sup 1.4323e-01 (1.1648e-01)	L_Trg_Inj 2.7190e-01 (2.1445e-01)	Loss Disc 6.9319e-01 (6.9314e-01)	Loss Pred 7.2725e-01 (7.7084e-01)	Loss TOTAL 1.1154e+00 (1.1555e+00)
Epoch: [1][100/299]	L_Src_Sup 1.0120e-01 (1.1494e-01)	L_Trg_Inj 2.9517e-01 (2.1572e-01)	Loss Disc 6.9338e-01 (6.9317e-01)	Loss Pred 7.1747e-01 (7.6691e-01)	Loss TOTAL 1.1038e+00 (1.1511e+00)
Epoch: [1][110/299]	L_Src_Sup 1.0064e-01 (1.1467e-01)	L_Trg_Inj 1.4758e-01 (2.1301e-01)	Loss Disc 6.9330e-01 (6.9321e-01)	Loss Pred 6.9273e-01 (7.6349e-01)	Loss TOTAL 1.0642e+00 (1.1471e+00)
