Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.506285903228045, std[0]=0.20951616163223202)
Loading Target Train...
Epoch: [1][100/112]	L_Src_Sup 1.9365e+00 (9.6105e-01)	L_Trg_Inj 1.9360e+00 (8.6708e-01)	Loss Disc 6.9331e-01 (6.9340e-01)	Loss Pred 1.1523e+00 (1.2163e+00)	Loss TOTAL 1.8868e+00 (1.8516e+00)
Epoch: [1][110/112]	L_Src_Sup 1.4360e+00 (1.0358e+00)	L_Trg_Inj 1.4625e+00 (9.5175e-01)	Loss Disc 6.9309e-01 (6.9339e-01)	Loss Pred 1.1287e+00 (1.2097e+00)	Loss TOTAL 1.7651e+00 (1.8514e+00)
Epoch: [1][112/112]	L_Src_Sup 8.0537e-01 (1.0351e+00)	L_Trg_Inj 8.6000e-01 (9.5275e-01)	Loss Disc 6.9289e-01 (6.9338e-01)	Loss Pred 1.1305e+00 (1.2082e+00)	Loss TOTAL 1.6435e+00 (1.8485e+00)
Epoch 1 complete. Saving model state...
Epoch: [2][ 10/112]	L_Src_Sup 2.4242e-01 (3.2334e-01)	L_Trg_Inj 6.7804e-02 (1.7458e-01)	Loss Disc 6.9297e-01 (6.9286e-01)	Loss Pred 1.1206e+00 (1.1291e+00)	Loss TOTAL 1.6727e+00 (1.7153e+00)
Epoch: [2][ 20/112]	L_Src_Sup 2.2203e-01 (2.8560e-01)	L_Trg_Inj 5.9242e-02 (1.3524e-01)	Loss Disc 6.9305e-01 (6.9299e-01)	Loss Pred 1.0983e+00 (1.1202e+00)	Loss TOTAL 1.6357e+00 (1.6808e+00)
Epoch: [2][ 30/112]	L_Src_Sup 3.7676e-01 (2.9663e-01)	L_Trg_Inj 3.7121e-02 (1.0701e-01)	Loss Disc 6.9286e-01 (6.9297e-01)	Loss Pred 1.0844e+00 (1.1118e+00)	Loss TOTAL 1.8119e+00 (1.7028e+00)
Epoch: [2][ 40/112]	L_Src_Sup 2.4109e-01 (2.7031e-01)	L_Trg_Inj 1.5121e-02 (8.7225e-02)	Loss Disc 6.9280e-01 (6.9293e-01)	Loss Pred 1.0789e+00 (1.1063e+00)	Loss TOTAL 1.6768e+00 (1.6824e+00)
Epoch: [2][ 50/112]	L_Src_Sup 4.3707e-04 (2.6642e-01)	L_Trg_Inj 9.3597e-02 (8.0472e-02)	Loss Disc 6.9290e-01 (6.9291e-01)	Loss Pred 1.0752e+00 (1.1001e+00)	Loss TOTAL 1.4311e+00 (1.6777e+00)
Epoch: [2][ 60/112]	L_Src_Sup 2.7002e-01 (2.6575e-01)	L_Trg_Inj 3.0857e-01 (8.2341e-02)	Loss Disc 6.9287e-01 (6.9289e-01)	Loss Pred 1.0553e+00 (1.0934e+00)	Loss TOTAL 1.4596e+00 (1.6675e+00)
Epoch: [2][ 70/112]	L_Src_Sup 2.5885e-01 (2.6244e-01)	L_Trg_Inj 2.5821e-02 (7.7795e-02)	Loss Disc 6.9217e-01 (6.9283e-01)	Loss Pred 1.0489e+00 (1.0875e+00)	Loss TOTAL 1.6565e+00 (1.6606e+00)
