Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.199965977568258, std[0]=2.0869327289041717)
Loading Target Train...
Epoch: [0][220/270]	L_Src_Sup 2.6567e-01 (3.5084e-01)	L_Trg_Inj 4.4486e-01 (5.5109e-01)	Loss Disc 6.8421e-01 (6.9623e-01)	Loss Pred 7.9105e-01 (8.1262e-01)	Loss TOTAL 1.2042e+00 (1.2589e+00)
Epoch: [0][230/270]	L_Src_Sup 1.2215e-01 (3.4432e-01)	L_Trg_Inj 2.3543e-01 (5.4100e-01)	Loss Disc 6.9478e-01 (6.9607e-01)	Loss Pred 7.6293e-01 (8.1207e-01)	Loss TOTAL 1.1461e+00 (1.2563e+00)
Epoch: [0][240/270]	L_Src_Sup 2.6975e-01 (3.3997e-01)	L_Trg_Inj 3.4292e-01 (5.3251e-01)	Loss Disc 6.9075e-01 (6.9588e-01)	Loss Pred 8.1496e-01 (8.1183e-01)	Loss TOTAL 1.2216e+00 (1.2545e+00)
Epoch: [0][250/270]	L_Src_Sup 2.2415e-01 (3.3503e-01)	L_Trg_Inj 3.5554e-01 (5.2416e-01)	Loss Disc 6.9054e-01 (6.9567e-01)	Loss Pred 8.6807e-01 (8.1167e-01)	Loss TOTAL 1.2713e+00 (1.2527e+00)
Epoch: [0][260/270]	L_Src_Sup 1.8796e-01 (3.3055e-01)	L_Trg_Inj 6.5976e-01 (5.1697e-01)	Loss Disc 6.8992e-01 (6.9546e-01)	Loss Pred 8.3968e-01 (8.1021e-01)	Loss TOTAL 1.2694e+00 (1.2498e+00)
Epoch: [0][270/270]	L_Src_Sup 2.2407e-01 (3.2618e-01)	L_Trg_Inj 4.0282e-01 (5.1525e-01)	Loss Disc 6.9224e-01 (6.9533e-01)	Loss Pred 7.6957e-01 (8.0959e-01)	Loss TOTAL 1.1784e+00 (1.2483e+00)
Epoch: [0][270/270]	L_Src_Sup 2.2407e-01 (3.2618e-01)	L_Trg_Inj 4.0282e-01 (5.1525e-01)	Loss Disc 6.9224e-01 (6.9533e-01)	Loss Pred 7.6957e-01 (8.0959e-01)	Loss TOTAL 1.1784e+00 (1.2483e+00)
Epoch 0 complete. Saving model state...
Epoch: [1][ 10/270]	L_Src_Sup 2.1319e-01 (2.9195e-01)	L_Trg_Inj 3.9826e-01 (5.9628e-01)	Loss Disc 6.8716e-01 (6.8844e-01)	Loss Pred 7.8450e-01 (7.7259e-01)	Loss TOTAL 1.1892e+00 (1.2078e+00)
Epoch: [1][ 20/270]	L_Src_Sup 1.2793e-01 (2.4003e-01)	L_Trg_Inj 3.5370e-01 (4.7632e-01)	Loss Disc 6.9080e-01 (6.8800e-01)	Loss Pred 8.3722e-01 (7.7529e-01)	Loss TOTAL 1.2308e+00 (1.1920e+00)
