Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=17.86238859460224, std[0]=3.174826576943196)
Loading Target Train...
Epoch: [0][220/496]	L_Src_Sup 4.8945e-01 (5.7617e-01)	L_Trg_Inj 3.5656e-01 (6.1993e-01)	Loss Disc 6.9353e-01 (6.9634e-01)	Loss Pred 9.6213e-01 (9.4468e-01)	Loss TOTAL 1.5264e+00 (1.4302e+00)
Epoch: [0][230/496]	L_Src_Sup 4.2340e-01 (5.6471e-01)	L_Trg_Inj 3.5886e-01 (6.1059e-01)	Loss Disc 6.9386e-01 (6.9623e-01)	Loss Pred 9.1957e-01 (9.4438e-01)	Loss TOTAL 1.4093e+00 (1.4273e+00)
Epoch: [0][240/496]	L_Src_Sup 2.0454e-01 (5.5263e-01)	L_Trg_Inj 3.5511e-01 (6.0240e-01)	Loss Disc 6.9375e-01 (6.9613e-01)	Loss Pred 9.4061e-01 (9.4447e-01)	Loss TOTAL 1.3435e+00 (1.4248e+00)
Epoch: [0][250/496]	L_Src_Sup 2.3648e-01 (5.4169e-01)	L_Trg_Inj 4.1952e-01 (5.9398e-01)	Loss Disc 6.9368e-01 (6.9603e-01)	Loss Pred 9.5485e-01 (9.4431e-01)	Loss TOTAL 1.3673e+00 (1.4224e+00)
Epoch: [0][260/496]	L_Src_Sup 2.5675e-01 (5.3126e-01)	L_Trg_Inj 3.2460e-01 (5.8405e-01)	Loss Disc 6.9368e-01 (6.9594e-01)	Loss Pred 9.4781e-01 (9.4395e-01)	Loss TOTAL 1.3528e+00 (1.4195e+00)
Epoch: [0][270/496]	L_Src_Sup 1.7946e-01 (5.2214e-01)	L_Trg_Inj 3.9927e-01 (5.7469e-01)	Loss Disc 6.9363e-01 (6.9585e-01)	Loss Pred 9.5482e-01 (9.4422e-01)	Loss TOTAL 1.3595e+00 (1.4180e+00)
Epoch: [0][280/496]	L_Src_Sup 5.4972e-01 (5.1715e-01)	L_Trg_Inj 6.4545e-01 (5.6886e-01)	Loss Disc 6.9327e-01 (6.9577e-01)	Loss Pred 8.9838e-01 (9.4472e-01)	Loss TOTAL 1.3645e+00 (1.4179e+00)
Epoch: [0][290/496]	L_Src_Sup 4.6471e-01 (5.1656e-01)	L_Trg_Inj 5.2168e-01 (5.7122e-01)	Loss Disc 6.9311e-01 (6.9568e-01)	Loss Pred 9.0430e-01 (9.4415e-01)	Loss TOTAL 1.3495e+00 (1.4170e+00)
Epoch: [0][300/496]	L_Src_Sup 3.9887e-01 (5.1107e-01)	L_Trg_Inj 3.4033e-01 (5.6600e-01)	Loss Disc 6.9253e-01 (6.9558e-01)	Loss Pred 9.7422e-01 (9.4415e-01)	Loss TOTAL 1.4529e+00 (1.4157e+00)
Epoch: [0][310/496]	L_Src_Sup 3.3449e-01 (5.0417e-01)	L_Trg_Inj 2.3889e-01 (5.5853e-01)	Loss Disc 6.9096e-01 (6.9545e-01)	Loss Pred 9.3151e-01 (9.4372e-01)	Loss TOTAL 1.4299e+00 (1.4151e+00)
