Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=6.442593226780509, std[0]=1.2340775789629297)
Loading Target Train...
Epoch: [1][100/112]	L_Src_Sup 1.1139e-01 (2.0755e-01)	L_Trg_Inj 3.7337e-01 (4.6346e-01)	Loss Disc 6.9273e-01 (6.8844e-01)	Loss Pred 1.1749e+00 (1.2677e+00)	Loss TOTAL 1.5697e+00 (1.6867e+00)
Epoch: [1][110/112]	L_Src_Sup 1.1768e-01 (2.1183e-01)	L_Trg_Inj 4.3308e-01 (4.6555e-01)	Loss Disc 6.8966e-01 (6.8846e-01)	Loss Pred 1.1620e+00 (1.2593e+00)	Loss TOTAL 1.5620e+00 (1.6791e+00)
Epoch: [1][112/112]	L_Src_Sup 3.3357e-01 (2.1400e-01)	L_Trg_Inj 4.6354e-01 (4.6538e-01)	Loss Disc 6.8844e-01 (6.8846e-01)	Loss Pred 1.1566e+00 (1.2576e+00)	Loss TOTAL 1.5805e+00 (1.6775e+00)
Epoch 1 complete. Saving model state...
Epoch: [2][ 10/112]	L_Src_Sup 1.4040e-01 (1.9935e-01)	L_Trg_Inj 4.2756e-01 (4.6915e-01)	Loss Disc 6.8932e-01 (6.8864e-01)	Loss Pred 1.1440e+00 (1.1529e+00)	Loss TOTAL 1.5454e+00 (1.5641e+00)
Epoch: [2][ 20/112]	L_Src_Sup 1.3438e-01 (2.3700e-01)	L_Trg_Inj 3.6963e-01 (4.9645e-01)	Loss Disc 6.9060e-01 (6.8753e-01)	Loss Pred 1.1335e+00 (1.1449e+00)	Loss TOTAL 1.5292e+00 (1.5677e+00)
Epoch: [2][ 30/112]	L_Src_Sup 3.1586e-01 (2.3850e-01)	L_Trg_Inj 3.6926e-01 (5.0064e-01)	Loss Disc 6.8936e-01 (6.8673e-01)	Loss Pred 1.1118e+00 (1.1371e+00)	Loss TOTAL 1.5250e+00 (1.5641e+00)
Epoch: [2][ 40/112]	L_Src_Sup 0.0000e+00 (2.3599e-01)	L_Trg_Inj 3.7130e-01 (5.0300e-01)	Loss Disc 6.8744e-01 (6.8587e-01)	Loss Pred 1.1063e+00 (1.1300e+00)	Loss TOTAL 1.4871e+00 (1.5541e+00)
Epoch: [2][ 50/112]	L_Src_Sup 2.4789e-01 (2.4056e-01)	L_Trg_Inj 4.9893e-01 (4.9648e-01)	Loss Disc 6.8339e-01 (6.8534e-01)	Loss Pred 1.0892e+00 (1.1231e+00)	Loss TOTAL 1.5056e+00 (1.5498e+00)
Epoch: [2][ 60/112]	L_Src_Sup 2.6663e-01 (2.3836e-01)	L_Trg_Inj 5.2898e-01 (4.9418e-01)	Loss Disc 6.8294e-01 (6.8512e-01)	Loss Pred 1.0765e+00 (1.1165e+00)	Loss TOTAL 1.4975e+00 (1.5409e+00)
Epoch: [2][ 70/112]	L_Src_Sup 1.5442e-01 (2.2928e-01)	L_Trg_Inj 5.1301e-01 (4.9116e-01)	Loss Disc 6.8524e-01 (6.8519e-01)	Loss Pred 1.0649e+00 (1.1095e+00)	Loss TOTAL 1.4743e+00 (1.5315e+00)
Epoch: [2][ 80/112]	L_Src_Sup 1.4328e-01 (2.1814e-01)	L_Trg_Inj 4.0542e-01 (4.8824e-01)	Loss Disc 6.8831e-01 (6.8536e-01)	Loss Pred 1.0504e+00 (1.1027e+00)	Loss TOTAL 1.4494e+00 (1.5225e+00)
