Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=6.743648330487297, std[0]=0.9335744483783562)
Loading Target Train...
Epoch: [1][100/112]	L_Src_Sup 3.1112e-01 (1.9659e-01)	L_Trg_Inj 2.5550e-01 (2.8860e-01)	Loss Disc 6.9194e-01 (6.9264e-01)	Loss Pred 8.0190e-01 (8.1776e-01)	Loss TOTAL 1.2601e+00 (1.2176e+00)
Epoch: [1][110/112]	L_Src_Sup 1.9132e-01 (2.0431e-01)	L_Trg_Inj 3.0286e-01 (2.9177e-01)	Loss Disc 6.9066e-01 (6.9251e-01)	Loss Pred 7.7705e-01 (8.1566e-01)	Loss TOTAL 1.1718e+00 (1.2179e+00)
Epoch: [1][112/112]	L_Src_Sup 2.0875e-01 (2.0434e-01)	L_Trg_Inj 2.9145e-01 (2.9200e-01)	Loss Disc 6.9087e-01 (6.9248e-01)	Loss Pred 7.8772e-01 (8.1580e-01)	Loss TOTAL 1.1832e+00 (1.2179e+00)
Epoch 1 complete. Saving model state...
Epoch: [2][ 10/112]	L_Src_Sup 2.2427e-01 (1.9823e-01)	L_Trg_Inj 2.9569e-01 (3.0223e-01)	Loss Disc 6.8988e-01 (6.9041e-01)	Loss Pred 8.7080e-01 (8.0840e-01)	Loss TOTAL 1.2677e+00 (1.2039e+00)
Epoch: [2][ 20/112]	L_Src_Sup 1.6365e-01 (1.9521e-01)	L_Trg_Inj 3.1182e-01 (3.0230e-01)	Loss Disc 6.9055e-01 (6.9040e-01)	Loss Pred 8.3173e-01 (8.2281e-01)	Loss TOTAL 1.2245e+00 (1.2179e+00)
Epoch: [2][ 30/112]	L_Src_Sup 1.6517e-01 (2.0006e-01)	L_Trg_Inj 2.8087e-01 (2.9347e-01)	Loss Disc 6.9226e-01 (6.9072e-01)	Loss Pred 6.8265e-01 (8.1442e-01)	Loss TOTAL 1.0734e+00 (1.2102e+00)
Epoch: [2][ 40/112]	L_Src_Sup 2.6886e-01 (1.9709e-01)	L_Trg_Inj 3.8982e-01 (2.9514e-01)	Loss Disc 6.9064e-01 (6.9097e-01)	Loss Pred 7.0537e-01 (8.0321e-01)	Loss TOTAL 1.1166e+00 (1.1987e+00)
Epoch: [2][ 50/112]	L_Src_Sup 1.0388e-01 (1.9310e-01)	L_Trg_Inj 3.0300e-01 (2.9571e-01)	Loss Disc 6.9327e-01 (6.9129e-01)	Loss Pred 8.2803e-01 (8.0523e-01)	Loss TOTAL 1.2154e+00 (1.2004e+00)
Epoch: [2][ 60/112]	L_Src_Sup 2.9410e-01 (2.0135e-01)	L_Trg_Inj 3.7956e-01 (2.9897e-01)	Loss Disc 6.9274e-01 (6.9158e-01)	Loss Pred 9.3933e-01 (8.0592e-01)	Loss TOTAL 1.3531e+00 (1.2030e+00)
Epoch: [2][ 70/112]	L_Src_Sup 2.3208e-01 (2.0151e-01)	L_Trg_Inj 3.2742e-01 (2.9479e-01)	Loss Disc 6.9300e-01 (6.9186e-01)	Loss Pred 7.9666e-01 (8.0530e-01)	Loss TOTAL 1.1991e+00 (1.2038e+00)
Epoch: [2][ 80/112]	L_Src_Sup 2.1592e-01 (1.9901e-01)	L_Trg_Inj 3.7506e-01 (2.9513e-01)	Loss Disc 6.9325e-01 (6.9207e-01)	Loss Pred 8.2458e-01 (8.0728e-01)	Loss TOTAL 1.2303e+00 (1.2053e+00)
Epoch: [2][ 90/112]	L_Src_Sup 1.2256e-01 (1.9306e-01)	L_Trg_Inj 3.8979e-01 (2.9629e-01)	Loss Disc 6.9201e-01 (6.9218e-01)	Loss Pred 7.4793e-01 (8.0492e-01)	Loss TOTAL 1.1452e+00 (1.2022e+00)
Epoch: [2][100/112]	L_Src_Sup 1.4591e-01 (1.9279e-01)	L_Trg_Inj 2.0278e-01 (2.9065e-01)	Loss Disc 6.8947e-01 (6.9209e-01)	Loss Pred 7.8156e-01 (8.0345e-01)	Loss TOTAL 1.1612e+00 (1.2016e+00)
Epoch: [2][110/112]	L_Src_Sup 2.5521e-01 (1.9664e-01)	L_Trg_Inj 4.6944e-01 (2.9081e-01)	Loss Disc 6.6853e-01 (6.9123e-01)	Loss Pred 7.2355e-01 (7.9955e-01)	Loss TOTAL 1.1303e+00 (1.1993e+00)
Epoch: [2][112/112]	L_Src_Sup 2.5243e-01 (1.9758e-01)	L_Trg_Inj 2.9550e-01 (2.9131e-01)	Loss Disc 6.9115e-01 (6.9123e-01)	Loss Pred 9.1258e-01 (8.0030e-01)	Loss TOTAL 1.3129e+00 (1.2001e+00)
Epoch 2 complete. Saving model state...
Epoch: [3][ 10/112]	L_Src_Sup 2.3461e-01 (2.0482e-01)	L_Trg_Inj 2.6361e-01 (2.7990e-01)	Loss Disc 6.7408e-01 (6.8420e-01)	Loss Pred 7.8856e-01 (7.9144e-01)	Loss TOTAL 1.1754e+00 (1.2043e+00)
Epoch: [3][ 20/112]	L_Src_Sup 2.1069e-01 (2.0819e-01)	L_Trg_Inj 3.3585e-01 (2.7965e-01)	Loss Disc 6.8342e-01 (6.8346e-01)	Loss Pred 7.3673e-01 (7.7618e-01)	Loss TOTAL 1.1331e+00 (1.1815e+00)
Epoch: [3][ 30/112]	L_Src_Sup 2.5988e-01 (2.0551e-01)	L_Trg_Inj 3.4190e-01 (2.8534e-01)	Loss Disc 6.9416e-01 (6.8644e-01)	Loss Pred 7.1071e-01 (7.6701e-01)	Loss TOTAL 1.1180e+00 (1.1706e+00)
Epoch: [3][ 40/112]	L_Src_Sup 1.6092e-01 (2.0565e-01)	L_Trg_Inj 2.8225e-01 (2.8920e-01)	Loss Disc 6.9305e-01 (6.8801e-01)	Loss Pred 7.3833e-01 (7.5614e-01)	Loss TOTAL 1.1292e+00 (1.1587e+00)
Epoch: [3][ 50/112]	L_Src_Sup 1.8435e-01 (2.0480e-01)	L_Trg_Inj 1.9761e-01 (2.9155e-01)	Loss Disc 6.9380e-01 (6.8904e-01)	Loss Pred 7.3598e-01 (7.4782e-01)	Loss TOTAL 1.1211e+00 (1.1520e+00)
Epoch: [3][ 60/112]	L_Src_Sup 1.1963e-01 (2.0104e-01)	L_Trg_Inj 3.6956e-01 (2.9504e-01)	Loss Disc 6.9111e-01 (6.8963e-01)	Loss Pred 6.1932e-01 (7.3632e-01)	Loss TOTAL 1.0138e+00 (1.1393e+00)
Epoch: [3][ 70/112]	L_Src_Sup 2.5106e-01 (2.0178e-01)	L_Trg_Inj 2.7788e-01 (2.9746e-01)	Loss Disc 6.9194e-01 (6.9007e-01)	Loss Pred 5.9524e-01 (7.2440e-01)	Loss TOTAL 9.9410e-01 (1.1280e+00)
Epoch: [3][ 80/112]	L_Src_Sup 2.9797e-01 (2.0226e-01)	L_Trg_Inj 4.2714e-01 (3.0095e-01)	Loss Disc 6.9466e-01 (6.9045e-01)	Loss Pred 6.8893e-01 (7.1648e-01)	Loss TOTAL 1.1088e+00 (1.1197e+00)
Epoch: [3][ 90/112]	L_Src_Sup 2.1386e-01 (2.0230e-01)	L_Trg_Inj 3.1216e-01 (2.9644e-01)	Loss Disc 6.9270e-01 (6.9080e-01)	Loss Pred 6.2018e-01 (7.0725e-01)	Loss TOTAL 1.0191e+00 (1.1108e+00)
Epoch: [3][100/112]	L_Src_Sup 9.3227e-02 (2.0100e-01)	L_Trg_Inj 1.7145e-01 (2.9374e-01)	Loss Disc 6.9353e-01 (6.9102e-01)	Loss Pred 6.4824e-01 (7.0013e-01)	Loss TOTAL 1.0215e+00 (1.1034e+00)
Epoch: [3][110/112]	L_Src_Sup 2.3945e-01 (2.0198e-01)	L_Trg_Inj 2.6583e-01 (2.9386e-01)	Loss Disc 6.9247e-01 (6.9118e-01)	Loss Pred 5.6344e-01 (6.9139e-01)	Loss TOTAL 9.6020e-01 (1.0947e+00)
Epoch: [3][112/112]	L_Src_Sup 2.4195e-01 (2.0205e-01)	L_Trg_Inj 2.7904e-01 (2.9403e-01)	Loss Disc 6.9235e-01 (6.9120e-01)	Loss Pred 5.6578e-01 (6.8914e-01)	Loss TOTAL 9.6406e-01 (1.0923e+00)
Epoch 3 complete. Saving model state...
Epoch: [4][ 10/112]	L_Src_Sup 1.1362e-01 (1.8612e-01)	L_Trg_Inj 2.6469e-01 (2.7025e-01)	Loss Disc 6.9237e-01 (6.9257e-01)	Loss Pred 5.8759e-01 (5.9531e-01)	Loss TOTAL 9.7161e-01 (9.8976e-01)
Epoch: [4][ 20/112]	L_Src_Sup 2.2705e-01 (1.9171e-01)	L_Trg_Inj 2.7903e-01 (2.8370e-01)	Loss Disc 6.9144e-01 (6.9204e-01)	Loss Pred 5.5299e-01 (5.8516e-01)	Loss TOTAL 9.4932e-01 (9.7998e-01)
Epoch: [4][ 30/112]	L_Src_Sup 1.2863e-01 (1.9807e-01)	L_Trg_Inj 2.8231e-01 (2.8870e-01)	Loss Disc 6.8690e-01 (6.9128e-01)	Loss Pred 5.8324e-01 (5.7690e-01)	Loss TOTAL 9.6778e-01 (9.7416e-01)
