Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=0.7223363136558004, std[0]=0.06360114234969161)
Loading Target Train...
Epoch: [1][ 70/140]	L_Src_Sup 1.7383e-01 (2.1824e-01)	L_Trg_Inj 2.9271e-01 (3.2041e-01)	Loss Disc 6.9186e-01 (6.9379e-01)	Loss Pred 7.6634e-01 (7.7116e-01)	Loss TOTAL 1.1589e+00 (1.1825e+00)
Epoch: [1][ 80/140]	L_Src_Sup 1.5793e-01 (2.1690e-01)	L_Trg_Inj 2.9055e-01 (3.1408e-01)	Loss Disc 6.9323e-01 (6.9359e-01)	Loss Pred 8.1641e-01 (7.6832e-01)	Loss TOTAL 1.2079e+00 (1.1775e+00)
Epoch: [1][ 90/140]	L_Src_Sup 2.3094e-01 (2.1425e-01)	L_Trg_Inj 3.6822e-01 (3.1416e-01)	Loss Disc 6.8923e-01 (6.9335e-01)	Loss Pred 8.0172e-01 (7.6849e-01)	Loss TOTAL 1.2063e+00 (1.1766e+00)
Epoch: [1][100/140]	L_Src_Sup 2.0084e-01 (2.1411e-01)	L_Trg_Inj 2.8627e-01 (3.1174e-01)	Loss Disc 6.8953e-01 (6.9299e-01)	Loss Pred 7.8678e-01 (7.6832e-01)	Loss TOTAL 1.1803e+00 (1.1752e+00)
Epoch: [1][110/140]	L_Src_Sup 1.6717e-01 (2.1065e-01)	L_Trg_Inj 5.3696e-01 (3.1254e-01)	Loss Disc 6.8410e-01 (6.9261e-01)	Loss Pred 6.8557e-01 (7.6518e-01)	Loss TOTAL 1.0980e+00 (1.1710e+00)
Epoch: [1][120/140]	L_Src_Sup 1.5733e-01 (2.0885e-01)	L_Trg_Inj 2.6930e-01 (3.0902e-01)	Loss Disc 6.8975e-01 (6.9234e-01)	Loss Pred 7.6987e-01 (7.6586e-01)	Loss TOTAL 1.1574e+00 (1.1704e+00)
Epoch: [1][130/140]	L_Src_Sup 2.3980e-01 (2.0838e-01)	L_Trg_Inj 3.3463e-01 (3.0747e-01)	Loss Disc 6.8596e-01 (6.9203e-01)	Loss Pred 7.3889e-01 (7.6340e-01)	Loss TOTAL 1.1393e+00 (1.1676e+00)
Epoch: [1][140/140]	L_Src_Sup 2.1455e-01 (2.0706e-01)	L_Trg_Inj 4.3565e-01 (3.0540e-01)	Loss Disc 6.8273e-01 (6.9173e-01)	Loss Pred 7.9701e-01 (7.6297e-01)	Loss TOTAL 1.2034e+00 (1.1666e+00)
Epoch: [1][140/140]	L_Src_Sup 2.1455e-01 (2.0706e-01)	L_Trg_Inj 4.3565e-01 (3.0540e-01)	Loss Disc 6.8273e-01 (6.9173e-01)	Loss Pred 7.9701e-01 (7.6297e-01)	Loss TOTAL 1.2034e+00 (1.1666e+00)
Epoch 1 complete. Saving model state...
Epoch: [2][ 10/140]	L_Src_Sup 1.5648e-01 (1.9770e-01)	L_Trg_Inj 2.7522e-01 (3.1760e-01)	Loss Disc 6.8914e-01 (6.8530e-01)	Loss Pred 7.5073e-01 (7.5901e-01)	Loss TOTAL 1.1385e+00 (1.1590e+00)
Epoch: [2][ 20/140]	L_Src_Sup 2.3401e-01 (1.9628e-01)	L_Trg_Inj 1.5408e-01 (3.0343e-01)	Loss Disc 6.9216e-01 (6.8707e-01)	Loss Pred 6.8746e-01 (7.4679e-01)	Loss TOTAL 1.1523e+00 (1.1472e+00)
Epoch: [2][ 30/140]	L_Src_Sup 2.1674e-01 (2.0364e-01)	L_Trg_Inj 2.7827e-01 (3.1145e-01)	Loss Disc 6.8991e-01 (6.8693e-01)	Loss Pred 7.8000e-01 (7.5162e-01)	Loss TOTAL 1.1745e+00 (1.1523e+00)
Epoch: [2][ 40/140]	L_Src_Sup 1.8959e-01 (2.0748e-01)	L_Trg_Inj 2.6666e-01 (3.1380e-01)	Loss Disc 6.9080e-01 (6.8774e-01)	Loss Pred 7.3102e-01 (7.4540e-01)	Loss TOTAL 1.1220e+00 (1.1470e+00)
Epoch: [2][ 50/140]	L_Src_Sup 1.3865e-01 (2.0001e-01)	L_Trg_Inj 3.9240e-01 (3.1064e-01)	Loss Disc 6.8870e-01 (6.8810e-01)	Loss Pred 7.4515e-01 (7.4193e-01)	Loss TOTAL 1.1426e+00 (1.1417e+00)
Epoch: [2][ 60/140]	L_Src_Sup 1.3482e-01 (1.9635e-01)	L_Trg_Inj 3.4113e-01 (3.0899e-01)	Loss Disc 6.8867e-01 (6.8842e-01)	Loss Pred 6.9446e-01 (7.4267e-01)	Loss TOTAL 1.0864e+00 (1.1413e+00)
Epoch: [2][ 70/140]	L_Src_Sup 1.5768e-01 (1.9746e-01)	L_Trg_Inj 2.8589e-01 (2.9938e-01)	Loss Disc 6.8851e-01 (6.8855e-01)	Loss Pred 7.5868e-01 (7.4322e-01)	Loss TOTAL 1.1473e+00 (1.1421e+00)
Epoch: [2][ 80/140]	L_Src_Sup 1.5247e-01 (1.9797e-01)	L_Trg_Inj 3.0013e-01 (3.0051e-01)	Loss Disc 6.8503e-01 (6.8809e-01)	Loss Pred 6.9056e-01 (7.3949e-01)	Loss TOTAL 1.0783e+00 (1.1378e+00)
Epoch: [2][ 90/140]	L_Src_Sup 1.6515e-01 (1.9835e-01)	L_Trg_Inj 2.2995e-01 (3.0052e-01)	Loss Disc 6.9110e-01 (6.8819e-01)	Loss Pred 6.3729e-01 (7.3973e-01)	Loss TOTAL 1.0223e+00 (1.1377e+00)
Epoch: [2][100/140]	L_Src_Sup 2.2413e-01 (2.0014e-01)	L_Trg_Inj 3.5628e-01 (3.0069e-01)	Loss Disc 6.8913e-01 (6.8842e-01)	Loss Pred 7.2080e-01 (7.3973e-01)	Loss TOTAL 1.1234e+00 (1.1376e+00)
Epoch: [2][110/140]	L_Src_Sup 7.0824e-02 (1.9999e-01)	L_Trg_Inj 3.8755e-01 (2.9964e-01)	Loss Disc 6.8962e-01 (6.8861e-01)	Loss Pred 7.7264e-01 (7.3866e-01)	Loss TOTAL 1.1633e+00 (1.1371e+00)
Epoch: [2][120/140]	L_Src_Sup 2.0479e-01 (2.0094e-01)	L_Trg_Inj 2.9644e-01 (2.9732e-01)	Loss Disc 6.9059e-01 (6.8886e-01)	Loss Pred 7.0120e-01 (7.3744e-01)	Loss TOTAL 1.0966e+00 (1.1368e+00)
Epoch: [2][130/140]	L_Src_Sup 2.7242e-01 (2.0117e-01)	L_Trg_Inj 2.9007e-01 (2.9855e-01)	Loss Disc 6.9029e-01 (6.8894e-01)	Loss Pred 8.1720e-01 (7.3799e-01)	Loss TOTAL 1.2186e+00 (1.1384e+00)
Epoch: [2][140/140]	L_Src_Sup 1.9236e-01 (1.9970e-01)	L_Trg_Inj 2.0244e-01 (2.9867e-01)	Loss Disc 6.9034e-01 (6.8898e-01)	Loss Pred 6.8939e-01 (7.3860e-01)	Loss TOTAL 1.0740e+00 (1.1385e+00)
Epoch: [2][140/140]	L_Src_Sup 1.9236e-01 (1.9970e-01)	L_Trg_Inj 2.0244e-01 (2.9867e-01)	Loss Disc 6.9034e-01 (6.8898e-01)	Loss Pred 6.8939e-01 (7.3860e-01)	Loss TOTAL 1.0740e+00 (1.1385e+00)
Epoch 2 complete. Saving model state...
Epoch: [3][ 10/140]	L_Src_Sup 2.1688e-01 (2.4947e-01)	L_Trg_Inj 2.3180e-01 (2.9940e-01)	Loss Disc 6.9069e-01 (6.8973e-01)	Loss Pred 7.6793e-01 (6.8001e-01)	Loss TOTAL 1.1581e+00 (1.0919e+00)
Epoch: [3][ 20/140]	L_Src_Sup 2.2474e-01 (2.2551e-01)	L_Trg_Inj 3.8959e-01 (2.9797e-01)	Loss Disc 6.9303e-01 (6.9117e-01)	Loss Pred 6.6984e-01 (6.8154e-01)	Loss TOTAL 1.0778e+00 (1.0858e+00)
Epoch: [3][ 30/140]	L_Src_Sup 1.5348e-01 (2.1621e-01)	L_Trg_Inj 2.4923e-01 (2.9734e-01)	Loss Disc 6.8904e-01 (6.9188e-01)	Loss Pred 6.1174e-01 (6.6959e-01)	Loss TOTAL 9.9653e-01 (1.0730e+00)
