Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=7.250739126206178, std[0]=0.4471005807248076)
Loading Target Train...
Epoch: [1][100/112]	L_Src_Sup 2.2428e-01 (2.2812e-01)	L_Trg_Inj 6.0624e-01 (5.4572e-01)	Loss Disc 6.8043e-01 (6.8132e-01)	Loss Pred 1.1891e+00 (1.2790e+00)	Loss TOTAL 1.6123e+00 (1.7058e+00)
Epoch: [1][110/112]	L_Src_Sup 4.3188e-01 (2.2706e-01)	L_Trg_Inj 4.9709e-01 (5.5218e-01)	Loss Disc 6.7500e-01 (6.8151e-01)	Loss Pred 1.1852e+00 (1.2711e+00)	Loss TOTAL 1.6156e+00 (1.6978e+00)
Epoch: [1][112/112]	L_Src_Sup 1.1009e-01 (2.2493e-01)	L_Trg_Inj 3.8012e-01 (5.4996e-01)	Loss Disc 6.9009e-01 (6.8160e-01)	Loss Pred 1.1720e+00 (1.2694e+00)	Loss TOTAL 1.5661e+00 (1.6955e+00)
Epoch 1 complete. Saving model state...
Epoch: [2][ 10/112]	L_Src_Sup 3.7813e-01 (2.3179e-01)	L_Trg_Inj 7.1112e-01 (4.9291e-01)	Loss Disc 6.8786e-01 (6.8572e-01)	Loss Pred 1.1614e+00 (1.1729e+00)	Loss TOTAL 1.6142e+00 (1.6124e+00)
Epoch: [2][ 20/112]	L_Src_Sup 1.9125e-01 (2.3208e-01)	L_Trg_Inj 4.0074e-01 (5.1339e-01)	Loss Disc 6.8787e-01 (6.8508e-01)	Loss Pred 1.1355e+00 (1.1618e+00)	Loss TOTAL 1.5386e+00 (1.5909e+00)
Epoch: [2][ 30/112]	L_Src_Sup 7.9942e-01 (2.4684e-01)	L_Trg_Inj 1.1689e+00 (5.2403e-01)	Loss Disc 6.9133e-01 (6.8464e-01)	Loss Pred 1.1380e+00 (1.1518e+00)	Loss TOTAL 1.6805e+00 (1.5801e+00)
Epoch: [2][ 40/112]	L_Src_Sup 1.3017e-01 (2.2945e-01)	L_Trg_Inj 5.8091e-01 (5.1288e-01)	Loss Disc 6.8932e-01 (6.8479e-01)	Loss Pred 1.1183e+00 (1.1458e+00)	Loss TOTAL 1.5340e+00 (1.5711e+00)
Epoch: [2][ 50/112]	L_Src_Sup 3.6324e-01 (2.4732e-01)	L_Trg_Inj 5.7075e-01 (5.3806e-01)	Loss Disc 6.8062e-01 (6.8490e-01)	Loss Pred 1.0940e+00 (1.1390e+00)	Loss TOTAL 1.5277e+00 (1.5685e+00)
Epoch: [2][ 60/112]	L_Src_Sup 1.6674e-01 (2.4135e-01)	L_Trg_Inj 3.5625e-01 (5.2627e-01)	Loss Disc 6.8144e-01 (6.8400e-01)	Loss Pred 1.0959e+00 (1.1322e+00)	Loss TOTAL 1.4890e+00 (1.5581e+00)
