Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=0.7014437887685685, std[0]=0.011928948002314158)
Loading Target Train...
Epoch: [1][100/112]	L_Src_Sup 0.0000e+00 (2.3770e-01)	L_Trg_Inj 5.1116e-01 (3.7751e-01)	Loss Disc 6.8150e-01 (6.8865e-01)	Loss Pred 1.1842e+00 (1.2641e+00)	Loss TOTAL 1.5761e+00 (1.6916e+00)
Epoch: [1][110/112]	L_Src_Sup 6.3190e-01 (2.3213e-01)	L_Trg_Inj 2.1902e-01 (3.7472e-01)	Loss Disc 6.9073e-01 (6.8845e-01)	Loss Pred 1.1543e+00 (1.2552e+00)	Loss TOTAL 1.9977e+00 (1.6835e+00)
Epoch: [1][112/112]	L_Src_Sup 3.0444e-01 (2.3428e-01)	L_Trg_Inj 3.3296e-01 (3.7503e-01)	Loss Disc 6.8779e-01 (6.8842e-01)	Loss Pred 1.1333e+00 (1.2533e+00)	Loss TOTAL 1.5409e+00 (1.6815e+00)
Epoch 1 complete. Saving model state...
Epoch: [2][ 10/112]	L_Src_Sup 3.3285e-01 (2.5673e-01)	L_Trg_Inj 2.6224e-01 (3.8215e-01)	Loss Disc 6.9132e-01 (6.8814e-01)	Loss Pred 1.1525e+00 (1.1483e+00)	Loss TOTAL 1.6283e+00 (1.5966e+00)
Epoch: [2][ 20/112]	L_Src_Sup 3.1005e-01 (2.2078e-01)	L_Trg_Inj 3.0079e-01 (3.3278e-01)	Loss Disc 6.9163e-01 (6.8824e-01)	Loss Pred 1.1327e+00 (1.1430e+00)	Loss TOTAL 1.5488e+00 (1.5805e+00)
Epoch: [2][ 30/112]	L_Src_Sup 1.4439e-01 (3.6396e-01)	L_Trg_Inj 2.7417e-01 (4.6977e-01)	Loss Disc 6.8218e-01 (6.8787e-01)	Loss Pred 1.1172e+00 (1.1374e+00)	Loss TOTAL 1.5001e+00 (1.6036e+00)
Epoch: [2][ 40/112]	L_Src_Sup 2.3515e-02 (3.2234e-01)	L_Trg_Inj 6.7056e-01 (4.5834e-01)	Loss Disc 6.8012e-01 (6.8592e-01)	Loss Pred 1.0999e+00 (1.1301e+00)	Loss TOTAL 1.5094e+00 (1.5842e+00)
Epoch: [2][ 50/112]	L_Src_Sup 3.3387e-01 (3.1924e-01)	L_Trg_Inj 5.7677e-01 (4.5041e-01)	Loss Disc 6.8199e-01 (6.8435e-01)	Loss Pred 1.0811e+00 (1.1223e+00)	Loss TOTAL 1.5132e+00 (1.5721e+00)
Epoch: [2][ 60/112]	L_Src_Sup 2.8655e-01 (2.9460e-01)	L_Trg_Inj 3.7143e-01 (4.4206e-01)	Loss Disc 6.8277e-01 (6.8381e-01)	Loss Pred 1.0692e+00 (1.1148e+00)	Loss TOTAL 1.4764e+00 (1.5568e+00)
Epoch: [2][ 70/112]	L_Src_Sup 5.2740e-01 (2.9552e-01)	L_Trg_Inj 3.6596e-01 (4.4823e-01)	Loss Disc 6.8892e-01 (6.8338e-01)	Loss Pred 1.0580e+00 (1.1072e+00)	Loss TOTAL 1.6533e+00 (1.5503e+00)
Epoch: [2][ 80/112]	L_Src_Sup 2.8577e-01 (2.8228e-01)	L_Trg_Inj 3.5358e-01 (4.5175e-01)	Loss Disc 6.8583e-01 (6.8301e-01)	Loss Pred 1.0415e+00 (1.1002e+00)	Loss TOTAL 1.4483e+00 (1.5412e+00)
Epoch: [2][ 90/112]	L_Src_Sup 3.0983e-01 (2.7731e-01)	L_Trg_Inj 4.6724e-01 (4.5389e-01)	Loss Disc 6.8051e-01 (6.8298e-01)	Loss Pred 1.0343e+00 (1.0932e+00)	Loss TOTAL 1.4523e+00 (1.5328e+00)
