Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.506285903228045, std[0]=0.20951616163223202)
Loading Target Train...
Epoch: [1][100/112]	L_Src_Sup 2.2684e-01 (2.1733e-01)	L_Trg_Inj 2.6390e-01 (3.5710e-01)	Loss Disc 6.9231e-01 (6.9312e-01)	Loss Pred 9.0960e-01 (9.6761e-01)	Loss TOTAL 1.3048e+00 (1.3783e+00)
Epoch: [1][110/112]	L_Src_Sup 3.1204e-01 (2.1855e-01)	L_Trg_Inj 3.5741e-01 (3.5542e-01)	Loss Disc 6.9250e-01 (6.9308e-01)	Loss Pred 9.6585e-01 (9.6730e-01)	Loss TOTAL 1.3791e+00 (1.3782e+00)
Epoch: [1][112/112]	L_Src_Sup 1.5954e-01 (2.1761e-01)	L_Trg_Inj 4.1857e-01 (3.5664e-01)	Loss Disc 6.9229e-01 (6.9306e-01)	Loss Pred 9.7147e-01 (9.6687e-01)	Loss TOTAL 1.3754e+00 (1.3776e+00)
Epoch 1 complete. Saving model state...
Epoch: [2][ 10/112]	L_Src_Sup 1.5481e-01 (2.0298e-01)	L_Trg_Inj 3.9275e-01 (3.7476e-01)	Loss Disc 6.9215e-01 (6.9195e-01)	Loss Pred 9.4326e-01 (9.6576e-01)	Loss TOTAL 1.3441e+00 (1.3723e+00)
Epoch: [2][ 20/112]	L_Src_Sup 1.4748e-01 (1.8304e-01)	L_Trg_Inj 2.0165e-01 (3.3257e-01)	Loss Disc 6.9497e-01 (6.9267e-01)	Loss Pred 9.7127e-01 (9.6312e-01)	Loss TOTAL 1.3537e+00 (1.3624e+00)
Epoch: [2][ 30/112]	L_Src_Sup 2.8566e-01 (2.0260e-01)	L_Trg_Inj 3.7790e-01 (3.0977e-01)	Loss Disc 6.9277e-01 (6.9300e-01)	Loss Pred 9.9406e-01 (9.6010e-01)	Loss TOTAL 1.4068e+00 (1.3676e+00)
Epoch: [2][ 40/112]	L_Src_Sup 2.4421e-01 (1.9705e-01)	L_Trg_Inj 2.0893e-01 (3.0328e-01)	Loss Disc 6.9335e-01 (6.9305e-01)	Loss Pred 9.5958e-01 (9.6218e-01)	Loss TOTAL 1.3869e+00 (1.3669e+00)
Epoch: [2][ 50/112]	L_Src_Sup 2.5596e-01 (1.9826e-01)	L_Trg_Inj 4.4152e-01 (3.0218e-01)	Loss Disc 6.9340e-01 (6.9314e-01)	Loss Pred 9.7606e-01 (9.6322e-01)	Loss TOTAL 1.3925e+00 (1.3672e+00)
Epoch: [2][ 60/112]	L_Src_Sup 2.2163e-01 (2.0379e-01)	L_Trg_Inj 3.7406e-01 (3.1245e-01)	Loss Disc 6.9315e-01 (6.9314e-01)	Loss Pred 9.9145e-01 (9.6544e-01)	Loss TOTAL 1.3976e+00 (1.3703e+00)
