Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=7.490673626922863, std[0]=0.8119164253286923)
Loading Target Train...
Epoch: [1][ 70/140]	L_Src_Sup 2.1285e-01 (2.3929e-01)	L_Trg_Inj 2.7175e-01 (3.3125e-01)	Loss Disc 6.9538e-01 (6.9382e-01)	Loss Pred 8.4490e-01 (7.7163e-01)	Loss TOTAL 1.2411e+00 (1.1914e+00)
Epoch: [1][ 80/140]	L_Src_Sup 1.7571e-01 (2.3411e-01)	L_Trg_Inj 3.2068e-01 (3.3045e-01)	Loss Disc 6.9452e-01 (6.9393e-01)	Loss Pred 7.9165e-01 (7.7226e-01)	Loss TOTAL 1.1885e+00 (1.1895e+00)
Epoch: [1][ 90/140]	L_Src_Sup 1.2235e-01 (2.2893e-01)	L_Trg_Inj 2.2548e-01 (3.2858e-01)	Loss Disc 6.9395e-01 (6.9396e-01)	Loss Pred 7.4940e-01 (7.7193e-01)	Loss TOTAL 1.1312e+00 (1.1870e+00)
Epoch: [1][100/140]	L_Src_Sup 2.8630e-01 (2.2743e-01)	L_Trg_Inj 3.4330e-01 (3.2735e-01)	Loss Disc 6.9379e-01 (6.9395e-01)	Loss Pred 7.6164e-01 (7.7203e-01)	Loss TOTAL 1.1715e+00 (1.1864e+00)
Epoch: [1][110/140]	L_Src_Sup 2.5063e-01 (2.2494e-01)	L_Trg_Inj 3.4970e-01 (3.2482e-01)	Loss Disc 6.9366e-01 (6.9393e-01)	Loss Pred 8.0083e-01 (7.7053e-01)	Loss TOTAL 1.2077e+00 (1.1833e+00)
Epoch: [1][120/140]	L_Src_Sup 1.4244e-01 (2.2370e-01)	L_Trg_Inj 2.7615e-01 (3.2270e-01)	Loss Disc 6.9377e-01 (6.9391e-01)	Loss Pred 7.1548e-01 (7.6840e-01)	Loss TOTAL 1.1042e+00 (1.1805e+00)
Epoch: [1][130/140]	L_Src_Sup 1.8440e-01 (2.2458e-01)	L_Trg_Inj 2.8208e-01 (3.2231e-01)	Loss Disc 6.9378e-01 (6.9389e-01)	Loss Pred 8.1292e-01 (7.6890e-01)	Loss TOTAL 1.2065e+00 (1.1811e+00)
Epoch: [1][140/140]	L_Src_Sup 1.2065e-01 (2.2282e-01)	L_Trg_Inj 4.3347e-01 (3.2043e-01)	Loss Disc 6.9371e-01 (6.9388e-01)	Loss Pred 7.9872e-01 (7.6744e-01)	Loss TOTAL 1.2010e+00 (1.1788e+00)
Epoch: [1][140/140]	L_Src_Sup 1.2065e-01 (2.2282e-01)	L_Trg_Inj 4.3347e-01 (3.2043e-01)	Loss Disc 6.9371e-01 (6.9388e-01)	Loss Pred 7.9872e-01 (7.6744e-01)	Loss TOTAL 1.2010e+00 (1.1788e+00)
Epoch 1 complete. Saving model state...
Epoch: [2][ 10/140]	L_Src_Sup 1.3309e-01 (1.8636e-01)	L_Trg_Inj 3.0693e-01 (3.2848e-01)	Loss Disc 6.9361e-01 (6.9358e-01)	Loss Pred 7.5089e-01 (7.5780e-01)	Loss TOTAL 1.1417e+00 (1.1561e+00)
Epoch: [2][ 20/140]	L_Src_Sup 1.0129e-01 (1.8577e-01)	L_Trg_Inj 2.3934e-01 (3.0806e-01)	Loss Disc 6.9338e-01 (6.9353e-01)	Loss Pred 7.9517e-01 (7.6201e-01)	Loss TOTAL 1.1759e+00 (1.1597e+00)
Epoch: [2][ 30/140]	L_Src_Sup 1.7304e-01 (1.8641e-01)	L_Trg_Inj 4.0976e-01 (3.0765e-01)	Loss Disc 6.9343e-01 (6.9348e-01)	Loss Pred 7.6446e-01 (7.6199e-01)	Loss TOTAL 1.1695e+00 (1.1595e+00)
Epoch: [2][ 40/140]	L_Src_Sup 2.6213e-01 (1.9181e-01)	L_Trg_Inj 2.8079e-01 (3.0444e-01)	Loss Disc 6.9328e-01 (6.9346e-01)	Loss Pred 7.8140e-01 (7.6111e-01)	Loss TOTAL 1.1823e+00 (1.1598e+00)
Epoch: [2][ 50/140]	L_Src_Sup 1.3573e-01 (1.9419e-01)	L_Trg_Inj 3.4163e-01 (3.0652e-01)	Loss Disc 6.9303e-01 (6.9340e-01)	Loss Pred 7.3197e-01 (7.5741e-01)	Loss TOTAL 1.1262e+00 (1.1560e+00)
Epoch: [2][ 60/140]	L_Src_Sup 1.7313e-01 (1.9444e-01)	L_Trg_Inj 2.3513e-01 (3.0650e-01)	Loss Disc 6.9207e-01 (6.9327e-01)	Loss Pred 7.2815e-01 (7.4967e-01)	Loss TOTAL 1.1150e+00 (1.1480e+00)
Epoch: [2][ 70/140]	L_Src_Sup 1.9128e-01 (1.9553e-01)	L_Trg_Inj 3.6708e-01 (3.0650e-01)	Loss Disc 6.8296e-01 (6.9259e-01)	Loss Pred 7.7491e-01 (7.5045e-01)	Loss TOTAL 1.1722e+00 (1.1487e+00)
Epoch: [2][ 80/140]	L_Src_Sup 1.6748e-01 (1.9568e-01)	L_Trg_Inj 3.2801e-01 (3.0759e-01)	Loss Disc 6.6447e-01 (6.9041e-01)	Loss Pred 6.9250e-01 (7.4885e-01)	Loss TOTAL 1.0743e+00 (1.1460e+00)
Epoch: [2][ 90/140]	L_Src_Sup 2.7297e-01 (1.9802e-01)	L_Trg_Inj 2.8838e-01 (3.0704e-01)	Loss Disc 6.6740e-01 (6.8817e-01)	Loss Pred 7.5704e-01 (7.4596e-01)	Loss TOTAL 1.1469e+00 (1.1434e+00)
Epoch: [2][100/140]	L_Src_Sup 2.3079e-01 (1.9839e-01)	L_Trg_Inj 2.9459e-01 (3.0654e-01)	Loss Disc 6.7588e-01 (6.8633e-01)	Loss Pred 7.2102e-01 (7.4724e-01)	Loss TOTAL 1.1115e+00 (1.1442e+00)
Epoch: [2][110/140]	L_Src_Sup 2.2646e-01 (2.0140e-01)	L_Trg_Inj 3.2192e-01 (3.0748e-01)	Loss Disc 6.9572e-01 (6.8641e-01)	Loss Pred 6.5243e-01 (7.4546e-01)	Loss TOTAL 1.0551e+00 (1.1425e+00)
Epoch: [2][120/140]	L_Src_Sup 1.6299e-01 (2.0260e-01)	L_Trg_Inj 2.2371e-01 (3.0543e-01)	Loss Disc 6.9414e-01 (6.8708e-01)	Loss Pred 7.8212e-01 (7.4398e-01)	Loss TOTAL 1.1679e+00 (1.1434e+00)
Epoch: [2][130/140]	L_Src_Sup 2.6906e-01 (2.0407e-01)	L_Trg_Inj 2.0809e-01 (3.0402e-01)	Loss Disc 6.9168e-01 (6.8744e-01)	Loss Pred 6.8296e-01 (7.4314e-01)	Loss TOTAL 1.1375e+00 (1.1438e+00)
Epoch: [2][140/140]	L_Src_Sup 1.9183e-01 (2.0210e-01)	L_Trg_Inj 2.3734e-01 (3.0312e-01)	Loss Disc 6.8680e-01 (6.8751e-01)	Loss Pred 7.4349e-01 (7.4056e-01)	Loss TOTAL 1.1298e+00 (1.1405e+00)
Epoch: [2][140/140]	L_Src_Sup 1.9183e-01 (2.0210e-01)	L_Trg_Inj 2.3734e-01 (3.0312e-01)	Loss Disc 6.8680e-01 (6.8751e-01)	Loss Pred 7.4349e-01 (7.4056e-01)	Loss TOTAL 1.1298e+00 (1.1405e+00)
Epoch 2 complete. Saving model state...
Epoch: [3][ 10/140]	L_Src_Sup 2.5007e-01 (2.0544e-01)	L_Trg_Inj 3.6126e-01 (3.0022e-01)	Loss Disc 6.8047e-01 (6.8540e-01)	Loss Pred 7.7158e-01 (7.0991e-01)	Loss TOTAL 1.1730e+00 (1.1060e+00)
Epoch: [3][ 20/140]	L_Src_Sup 2.7793e-01 (2.0099e-01)	L_Trg_Inj 2.5353e-01 (2.8606e-01)	Loss Disc 6.9379e-01 (6.8737e-01)	Loss Pred 6.7631e-01 (7.1533e-01)	Loss TOTAL 1.1007e+00 (1.1129e+00)
Epoch: [3][ 30/140]	L_Src_Sup 2.1138e-01 (2.0010e-01)	L_Trg_Inj 3.5781e-01 (3.0830e-01)	Loss Disc 6.9059e-01 (6.8832e-01)	Loss Pred 7.3299e-01 (7.2454e-01)	Loss TOTAL 1.1352e+00 (1.1230e+00)
Epoch: [3][ 40/140]	L_Src_Sup 2.4408e-01 (2.0817e-01)	L_Trg_Inj 2.6501e-01 (3.0568e-01)	Loss Disc 6.9110e-01 (6.8888e-01)	Loss Pred 6.6633e-01 (7.1906e-01)	Loss TOTAL 1.0628e+00 (1.1180e+00)
Epoch: [3][ 50/140]	L_Src_Sup 1.6320e-01 (2.0272e-01)	L_Trg_Inj 3.4272e-01 (3.0194e-01)	Loss Disc 6.9128e-01 (6.8899e-01)	Loss Pred 6.7133e-01 (7.0700e-01)	Loss TOTAL 1.0676e+00 (1.1053e+00)
Epoch: [3][ 60/140]	L_Src_Sup 1.5253e-01 (2.0068e-01)	L_Trg_Inj 4.4530e-01 (3.0097e-01)	Loss Disc 6.8672e-01 (6.8909e-01)	Loss Pred 5.8788e-01 (6.9783e-01)	Loss TOTAL 9.9102e-01 (1.0961e+00)
Epoch: [3][ 70/140]	L_Src_Sup 2.4108e-01 (2.0076e-01)	L_Trg_Inj 3.1999e-01 (2.9784e-01)	Loss Disc 6.8992e-01 (6.8911e-01)	Loss Pred 5.8232e-01 (6.8482e-01)	Loss TOTAL 9.8339e-01 (1.0829e+00)
Epoch: [3][ 80/140]	L_Src_Sup 2.3263e-01 (2.0173e-01)	L_Trg_Inj 3.8154e-01 (2.9758e-01)	Loss Disc 6.8738e-01 (6.8920e-01)	Loss Pred 5.6680e-01 (6.7356e-01)	Loss TOTAL 9.7190e-01 (1.0717e+00)
Epoch: [3][ 90/140]	L_Src_Sup 2.1970e-01 (2.0180e-01)	L_Trg_Inj 3.5745e-01 (2.9693e-01)	Loss Disc 6.9249e-01 (6.8939e-01)	Loss Pred 6.7915e-01 (6.6363e-01)	Loss TOTAL 1.0831e+00 (1.0614e+00)
Epoch: [3][100/140]	L_Src_Sup 2.2550e-01 (2.0035e-01)	L_Trg_Inj 2.8436e-01 (2.9493e-01)	Loss Disc 6.8974e-01 (6.8955e-01)	Loss Pred 5.6689e-01 (6.5510e-01)	Loss TOTAL 9.6274e-01 (1.0525e+00)
Epoch: [3][110/140]	L_Src_Sup 2.4154e-01 (1.9760e-01)	L_Trg_Inj 3.2847e-01 (2.9472e-01)	Loss Disc 6.8896e-01 (6.8952e-01)	Loss Pred 5.5156e-01 (6.4559e-01)	Loss TOTAL 9.5304e-01 (1.0424e+00)
Epoch: [3][120/140]	L_Src_Sup 4.8662e-01 (2.0112e-01)	L_Trg_Inj 6.7858e-01 (2.9680e-01)	Loss Disc 6.9571e-01 (6.8965e-01)	Loss Pred 7.6808e-01 (6.4027e-01)	Loss TOTAL 1.2325e+00 (1.0381e+00)
Epoch: [3][130/140]	L_Src_Sup 1.7159e-01 (2.0005e-01)	L_Trg_Inj 4.0582e-01 (2.9962e-01)	Loss Disc 6.8989e-01 (6.8984e-01)	Loss Pred 6.2367e-01 (6.3960e-01)	Loss TOTAL 1.0264e+00 (1.0376e+00)
Epoch: [3][140/140]	L_Src_Sup 2.1081e-01 (2.0085e-01)	L_Trg_Inj 2.8179e-01 (2.9805e-01)	Loss Disc 6.8612e-01 (6.8984e-01)	Loss Pred 4.9727e-01 (6.3312e-01)	Loss TOTAL 8.8959e-01 (1.0309e+00)
