Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.433720529987505, std[0]=0.22055395733663094)
Loading Target Train...
Epoch: [1][100/112]	L_Src_Sup 0.0000e+00 (2.1119e-01)	L_Trg_Inj 5.4672e-01 (3.8631e-01)	Loss Disc 6.8038e-01 (6.8536e-01)	Loss Pred 1.2014e+00 (1.2755e+00)	Loss TOTAL 1.5963e+00 (1.6903e+00)
Epoch: [1][110/112]	L_Src_Sup 6.3335e-01 (2.0888e-01)	L_Trg_Inj 2.8458e-01 (3.8426e-01)	Loss Disc 6.9103e-01 (6.8553e-01)	Loss Pred 1.1707e+00 (1.2671e+00)	Loss TOTAL 1.9568e+00 (1.6839e+00)
Epoch: [1][112/112]	L_Src_Sup 3.0600e-01 (2.1147e-01)	L_Trg_Inj 3.7711e-01 (3.8536e-01)	Loss Disc 6.8886e-01 (6.8557e-01)	Loss Pred 1.1504e+00 (1.2654e+00)	Loss TOTAL 1.5631e+00 (1.6824e+00)
Epoch 1 complete. Saving model state...
Epoch: [2][ 10/112]	L_Src_Sup 3.3293e-01 (2.3681e-01)	L_Trg_Inj 3.5214e-01 (4.4888e-01)	Loss Disc 6.9011e-01 (6.8722e-01)	Loss Pred 1.1710e+00 (1.1676e+00)	Loss TOTAL 1.5846e+00 (1.6071e+00)
Epoch: [2][ 20/112]	L_Src_Sup 3.0812e-01 (2.0450e-01)	L_Trg_Inj 2.4164e-01 (3.5459e-01)	Loss Disc 6.8992e-01 (6.8759e-01)	Loss Pred 1.1520e+00 (1.1625e+00)	Loss TOTAL 1.6184e+00 (1.5979e+00)
Epoch: [2][ 30/112]	L_Src_Sup 1.4269e-01 (2.0854e-01)	L_Trg_Inj 2.9479e-01 (3.8602e-01)	Loss Disc 6.8868e-01 (6.8758e-01)	Loss Pred 1.1336e+00 (1.1546e+00)	Loss TOTAL 1.5217e+00 (1.5872e+00)
Epoch: [2][ 40/112]	L_Src_Sup 5.2914e-05 (2.0600e-01)	L_Trg_Inj 5.3124e-01 (3.6748e-01)	Loss Disc 6.8889e-01 (6.8774e-01)	Loss Pred 1.1189e+00 (1.1476e+00)	Loss TOTAL 1.5165e+00 (1.5807e+00)
Epoch: [2][ 50/112]	L_Src_Sup 6.6641e-01 (2.3399e-01)	L_Trg_Inj 9.9264e-01 (3.9675e-01)	Loss Disc 6.8702e-01 (6.8725e-01)	Loss Pred 1.1045e+00 (1.1400e+00)	Loss TOTAL 1.6139e+00 (1.5729e+00)
Epoch: [2][ 60/112]	L_Src_Sup 2.3523e-01 (2.2294e-01)	L_Trg_Inj 3.3088e-01 (3.9314e-01)	Loss Disc 6.8753e-01 (6.8701e-01)	Loss Pred 1.0905e+00 (1.1334e+00)	Loss TOTAL 1.4908e+00 (1.5603e+00)
Epoch: [2][ 70/112]	L_Src_Sup 5.7798e-01 (2.3404e-01)	L_Trg_Inj 4.6400e-01 (3.9660e-01)	Loss Disc 6.8760e-01 (6.8694e-01)	Loss Pred 1.0789e+00 (1.1261e+00)	Loss TOTAL 1.6408e+00 (1.5589e+00)
