src_id,trg_id,best_f1,best_prec,best_rec,best_thr,avg_prc,roc_auc,macro_F1
source_data,target_data,0.9920697167755991,0.9977212971078002,0.9864818024263432,1.2718788385391235,0.999722417395885,0.9975207227271659,0.9629449590177894
source_data,target_data,0.9920697167755991,0.9977212971078002,0.9864818024263432,1.2718788385391235,0.999722417395885,0.9975207227271659,0.9629449590177894
source_data,target_data,0.9920697167755991,0.9977212971078002,0.9864818024263432,1.2718788385391235,0.999722417395885,0.9975207227271659,0.9629449590177894
source_data,target_data,0.9920697167755991,0.9977212971078002,0.9864818024263432,1.2718788385391235,0.999722417395885,0.9975207227271659,0.9629449590177894
source_data,target_data,1.0,1.0,1.0,2.2279019355773926,1.0,1.0,0.9996013026617867
source_data,target_data,1.0,1.0,1.0,2.2279019355773926,1.0,1.0,0.9996013026617867
source_data,target_data,1.0,1.0,1.0,2.2279019355773926,1.0,1.0,0.9996013026617867
source_data,target_data,0.8583916083916084,0.7519142419601837,1.0,1.4253230094909668,0.8074494998298792,0.45277789726348633,0.42915044107128664
source_data,target_data,0.9238005644402635,0.8583916083916084,1.0,4.222967624664307,0.8071752274173831,0.24862858979226318,0.4618772717553988
source_data,target_data,0.9909610772920125,0.9873185076272744,0.9946306239585262,19.4973087310791,0.99402134824053,0.9723786965501463,0.9671932821506393
source_data,target_data,0.9093205354887598,0.8337193144974525,1.0,17.168188095092773,0.6442098329379199,0.8005851727148023,0.8983777574702814
source_data,target_data,0.9236700077101002,0.8593974175035868,0.9983333333333333,16.189550399780273,0.6851554257658594,0.8389128943758573,0.916186578684125
source_data,target_data,0.9983314794215795,0.9994432071269488,0.9972222222222222,17.456966400146484,0.9996338239115347,0.9995968948746727,0.9980457587376383
source_data,target_data,0.9983314794215795,0.9994432071269488,0.9972222222222222,17.456966400146484,0.9996338239115347,0.9995968948746727,0.9980457587376383
source_data,target_data,1.0,1.0,1.0,14.44610595703125,1.0,,0.49993019684489737
source_data,target_data,1.0,1.0,1.0,8.427848815917969,1.0,,0.49740423740704365
source_data,target_data,1.0,1.0,1.0,8.427848815917969,1.0,,0.49740423740704365
source_data,target_data,0.9988876529477196,1.0,0.9977777777777778,16.14015769958496,0.9999687404090689,0.999967577004614,0.9986041133840274
source_data,target_data,0.626729724995621,0.4577789150460594,0.9933370349805664,13.463271141052246,0.2770512758707552,0.41057258053137197,0.6024059614309918
source_data,target_data,0.7542568845911288,0.6067985794013191,0.9963898916967509,11.363673210144043,0.39607482934798716,0.35106440150006424,0.6359786539540561
source_data,target_data,0.9998611303985558,0.9997222993612885,1.0,9.383100509643555,0.9999999228609338,0.9999998441202145,0.9995805274971941
